,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
44,44,0.0,2025-12-02 14:42:02.933485,2025-12-02 14:42:25.612270,0 days 00:00:22.678785,3,6,,,0,COMPLETE
45,45,0.0,2025-12-02 14:42:25.612373,2025-12-02 14:42:47.067161,0 days 00:00:21.454788,1,8,,,0,COMPLETE
46,46,4.0,2025-12-02 14:42:47.067278,2025-12-02 14:43:12.996800,0 days 00:00:25.929522,7,7,,,0,COMPLETE
47,47,0.0,2025-12-02 14:43:12.996906,2025-12-02 14:43:35.719615,0 days 00:00:22.722709,2,4,,,0,COMPLETE
48,48,0.0,2025-12-02 14:43:35.719725,2025-12-02 14:43:57.870772,0 days 00:00:22.151047,5,3,,,0,COMPLETE
49,49,10.0,2025-12-02 14:43:57.870884,2025-12-02 14:44:19.919557,0 days 00:00:22.048673,10,3,,,0,COMPLETE
50,50,10.0,2025-12-02 14:44:19.919672,2025-12-02 14:44:44.056842,0 days 00:00:24.137170,10,3,,,1,COMPLETE
51,51,6.0,2025-12-02 14:44:44.056956,2025-12-02 14:45:09.849553,0 days 00:00:25.792597,8,9,,,1,COMPLETE
52,52,1.0,2025-12-02 14:45:09.849662,2025-12-02 14:45:33.787496,0 days 00:00:23.937834,6,10,,,1,COMPLETE
53,53,4.0,2025-12-02 14:45:33.787627,2025-12-02 14:45:58.503949,0 days 00:00:24.716322,6,7,,,1,COMPLETE
54,54,0.0,2025-12-02 14:45:58.504056,2025-12-02 14:46:22.158916,0 days 00:00:23.654860,2,9,,,1,COMPLETE
55,55,3.0,2025-12-02 14:46:22.159021,2025-12-02 14:46:48.565280,0 days 00:00:26.406259,7,1,,,1,COMPLETE
56,56,10.0,2025-12-02 14:46:48.565392,2025-12-02 14:47:13.929849,0 days 00:00:25.364457,10,10,,,1,COMPLETE
57,57,3.0,2025-12-02 14:47:13.929976,2025-12-02 14:47:39.094898,0 days 00:00:25.164922,8,2,,,1,COMPLETE
58,58,0.0,2025-12-02 14:47:39.095014,2025-12-02 14:48:02.242691,0 days 00:00:23.147677,1,3,,,1,COMPLETE
59,59,1.0,2025-12-02 14:48:02.242849,2025-12-02 14:48:25.597801,0 days 00:00:23.354952,3,7,,,1,COMPLETE
60,60,1.0,2025-12-02 14:48:25.597913,2025-12-02 14:48:47.118693,0 days 00:00:21.520780,4,3,,,1,COMPLETE
61,61,7.0,2025-12-02 14:48:47.118801,2025-12-02 14:49:15.206141,0 days 00:00:28.087340,8,6,,,1,COMPLETE
62,62,0.0,2025-12-02 14:49:15.206252,2025-12-02 14:49:36.741037,0 days 00:00:21.534785,1,4,,,1,COMPLETE
63,63,4.0,2025-12-02 14:49:36.741158,2025-12-02 14:50:03.768438,0 days 00:00:27.027280,4,4,,,1,COMPLETE
64,64,10.0,2025-12-02 14:50:03.768546,2025-12-02 14:50:34.781194,0 days 00:00:31.012648,10,4,,,1,COMPLETE
65,65,3.0,2025-12-02 14:50:34.781295,2025-12-02 14:50:57.606221,0 days 00:00:22.824926,7,4,,,1,COMPLETE
66,66,10.0,2025-12-02 14:50:57.606337,2025-12-02 14:51:20.962611,0 days 00:00:23.356274,10,7,,,1,COMPLETE
67,67,4.0,2025-12-02 14:51:20.962821,2025-12-02 14:51:47.681158,0 days 00:00:26.718337,7,3,,,1,COMPLETE
68,68,10.0,2025-12-02 14:51:47.681269,2025-12-02 14:52:27.840474,0 days 00:00:40.159205,10,9,,,1,COMPLETE
69,69,10.0,2025-12-02 14:52:27.840580,2025-12-02 14:52:48.868164,0 days 00:00:21.027584,10,2,,,1,COMPLETE
70,70,0.0,2025-12-02 14:52:48.868271,2025-12-02 14:53:12.555679,0 days 00:00:23.687408,3,1,,,1,COMPLETE
